Suburb,Postcode,State,Address,Lat,Lng,Local government area
Melbourne CBD,3000,VIC,"Melbourne CBD,3000,VIC",-37.8152065,144.963937,City of Melbourne
East Melbourne,3002,VIC,"East Melbourne,3002,VIC",-37.8161444,144.9804594,City of Melbourne
West Melbourne,3003,VIC,"West Melbourne,3003,VIC",-37.8114504,144.9253974,City of Melbourne
Melbourne CBD(St Kilda Roadarea),3004,VIC,"Melbourne CBD(St Kilda Roadarea),3004,VIC",-37.8389467,144.975959,"City of Melbourne(east side to High Street, Prahran);City of Port Phillip(west side and road south of High Street, Prahran)"
South Wharf,3006,VIC,"South Wharf,3006,VIC",-37.825,144.952,City of Melbourne;City of Port Phillip
Southbank,3006,VIC,"Southbank,3006,VIC",-37.829,144.957,City of Melbourne;City of Port Phillip
Docklands,3008,VIC,"Docklands,3008,VIC",-37.8170652,144.9419122,City of Melbourne
Footscray,3011,VIC,"Footscray,3011,VIC",-37.7988987,144.892357,City of Maribyrnong
Seddon,3011,VIC,"Seddon,3011,VIC",-37.8055831,144.891002,City of Maribyrnong
Brooklyn,3012,VIC,"Brooklyn,3012,VIC",-37.8173492,144.8465361,City of Brimbank;City of Hobsons Bay
Kingsville,3012,VIC,"Kingsville,3012,VIC",-37.809,144.878,City of Maribyrnong
Maidstone,3012,VIC,"Maidstone,3012,VIC",-37.783,144.878,City of Maribyrnong
Tottenham,3012,VIC,"Tottenham,3012,VIC",-37.806,144.857,City of Maribyrnong
West Footscray,3012,VIC,"West Footscray,3012,VIC",-37.8020576,144.8703715,City of Maribyrnong
Yarraville,3013,VIC,"Yarraville,3013,VIC",-37.819811,144.8813738,City of Maribyrnong
Newport,3015,VIC,"Newport,3015,VIC",-37.842,144.884,City of Hobsons Bay
South Kingsville,3015,VIC,"South Kingsville,3015,VIC",-37.8300643,144.8703715,City of Hobsons Bay
Spotswood,3015,VIC,"Spotswood,3015,VIC",-37.8292454,144.8813515,City of Hobsons Bay
Williamstown,3016,VIC,"Williamstown,3016,VIC",-37.861,144.885,City of Hobsons Bay
Williamstown North,3016,VIC,"Williamstown North,3016,VIC",-37.8517597,144.8689963,City of Hobsons Bay
Altona,3018,VIC,"Altona,3018,VIC",-37.868,144.83,City of Hobsons Bay
Seaholme,3018,VIC,"Seaholme,3018,VIC",-37.868,144.841,City of Hobsons Bay
Braybrook,3019,VIC,"Braybrook,3019,VIC",-37.7903679,144.8566207,City of Maribyrnong
Albion,3020,VIC,"Albion,3020,VIC",-37.7755151,144.8154448,City of Brimbank
Sunshine,3020,VIC,"Sunshine,3020,VIC",-37.781,144.832,City of Brimbank
Sunshine North,3020,VIC,"Sunshine North,3020,VIC",-37.7645428,144.8312453,City of Brimbank
Sunshine West,3020,VIC,"Sunshine West,3020,VIC",-37.7946685,144.818759,City of Brimbank
Albanvale,3021,VIC,"Albanvale,3021,VIC",-37.746,144.765,City of Brimbank
Kealba,3021,VIC,"Kealba,3021,VIC",-37.739,144.828,City of Brimbank
Kings Park,3021,VIC,"Kings Park,3021,VIC",-37.734,144.772,City of Brimbank
St Albans,3021,VIC,"St Albans,3021,VIC",-37.7442306,144.7999941,City of Brimbank
Ardeer,3022,VIC,"Ardeer,3022,VIC",-37.7776716,144.7988921,City of Brimbank
Burnside,3023,VIC,"Burnside,3023,VIC",-37.753,144.754,City of Melton
