School
"Mac.Robertson Girls' High School,Melbourne CBD(St Kilda Roadarea),VIC,3004"
"Melbourne High School,South Yarra,VIC,3141"
"Nossal High School,Berwick,VIC,3806"
"Suzanne Cory High School,Werribee,VIC,3030"
"Presbyterian Ladies' College,Burwood,VIC,3125"
"Fintona Girls' School,Balwyn,VIC,3103"
"Haileybury College,Keysborough"
"Huntingtower School,Mount Waverley,VIC,3149"
"Korowa Anglican Girls' School,Glen Iris,VIC,3146"
"Camberwell Grammar School,Canterbury,VIC,3126"
"St Leonard's College,Brighton East,VIC,3187"
"Melbourne Grammar School,Melbourne CBD(St Kilda Roadarea)"
"Camberwell Girls Grammar School,Canterbury,VIC,3126"
"Trinity Grammar School,Kew,VIC,3101"
"St Kevin's College,Toorak,VIC,3142"
"Scotch College,Hawthorn,VIC,3122"
"Lauriston Girls' School,Armadale,VIC,3143"
"Penleigh & Essendon Grammar School,Keilor East,VIC,3033"
"Kilvington Grammar School,Ormond,VIC,3204"
"Ruyton Girls' School,Kew,VIC,3101"
"St Margaret's School,Berwick,VIC,3806"
"Box Hill High School,Box Hill,VIC,3128"
"Lighthouse Christian College,Cranbourne,VIC,3977"
"University High School,Parkville,VIC,3052"
"Strathcona Baptist Girls' Grammar School,Canterbury,VIC,3126"
"Glen Waverley Secondary College,Glen Waverley,VIC,3150"
"Waverley Christian College,Wantirna South,VIC,3152"
"Tintern Grammar,Ringwood East,VIC,3135"
"Shelford Girls' Grammar,Caulfield,VIC,3161"
"Mentone Girls' Grammar School,Mentone,VIC,3194"
"Yarra Valley Grammar School,Ringwood,VIC,3134"
"Heathdale Christian College,Werribee,VIC,3030"
"Balwyn High School,Balwyn North,VIC,3104"
"The King David School,Armadale,VIC,3143"
"St Andrews Christian College,Wantirna South,VIC,3152"
"Methodist Ladies' College,Kew,VIC,3101"
"Ivanhoe Girls' Grammar School,Ivanhoe,VIC,3079"
"Carey Baptist Grammar School,Kew,VIC,3101"
"St Catherine's School,Toorak,VIC,3142"
"Melbourne Girls Grammar School,South Yarra,VIC,3141"
"Donvale Christian College,Donvale,VIC,3111"
"Yesodei Hatorah College,Elwood,VIC,3184"
"Victorian College Of The Arts Secondary School,Southbank,VIC,3006"
"Westbourne Grammar School,Truganina,VIC,3029"
"Caulfield Grammar School,St Kilda East,VIC,3183"
