School,Lat,Lng
"Mac.Robertson Girls' High School,Melbourne CBD(St Kilda Roadarea),VIC,3004",-37.8367287,144.9718309
"Melbourne High School,South Yarra,VIC,3141",-37.8353879,144.995677
"Nossal High School,Berwick,VIC,3806",-38.039219,145.33603
"Suzanne Cory High School,Werribee,VIC,3030",-37.8935671,144.700048
"Presbyterian Ladies' College,Burwood,VIC,3125",-37.8489456,145.1071253
"Fintona Girls' School,Balwyn,VIC,3103",-37.8147636,145.0804335
"Haileybury College,Keysborough",-37.9928095,145.1447009
"Huntingtower School,Mount Waverley,VIC,3149",-37.8764869,145.1361211
"Korowa Anglican Girls' School,Glen Iris,VIC,3146",-37.8609969,145.0540044
"Camberwell Grammar School,Canterbury,VIC,3126",-37.8166236,145.0667249
"St Leonard's College,Brighton East,VIC,3187",-37.9285251,145.0074395
"Melbourne Grammar School,Melbourne CBD(St Kilda Roadarea)",-37.8334904,144.9758971
"Camberwell Girls Grammar School,Canterbury,VIC,3126",-37.8185527,145.0602175
"Trinity Grammar School,Kew,VIC,3101",-37.8099728,145.0350797
"St Kevin's College,Toorak,VIC,3142",-37.8360022,145.0250305
"Scotch College,Hawthorn,VIC,3122",-37.8342314,145.0291624
"Lauriston Girls' School,Armadale,VIC,3143",-37.8513387,145.025122
"Penleigh & Essendon Grammar School,Keilor East,VIC,3033",-37.7318871,144.871255
"Kilvington Grammar School,Ormond,VIC,3204",-37.8995443,145.041268
"Ruyton Girls' School,Kew,VIC,3101",-37.8111656,145.0397377
"St Margaret's School,Berwick,VIC,3806",-38.0356891,145.347195
"Box Hill High School,Box Hill,VIC,3128",-37.8205681,145.1374574
"Lighthouse Christian College,Cranbourne,VIC,3977",-38.1384279,145.3072706
"University High School,Parkville,VIC,3052",-37.797466,144.956067
"Strathcona Baptist Girls' Grammar School,Canterbury,VIC,3126",-37.8299516,145.0802326
"Glen Waverley Secondary College,Glen Waverley,VIC,3150",-37.8776501,145.1623858
"Waverley Christian College,Wantirna South,VIC,3152",-37.880547,145.2146391
"Tintern Grammar,Ringwood East,VIC,3135",-37.8157552,145.2566816
"Shelford Girls' Grammar,Caulfield,VIC,3161",-37.87734,145.011354
"Mentone Girls' Grammar School,Mentone,VIC,3194",-37.9895116,145.0646177
"Yarra Valley Grammar School,Ringwood,VIC,3134",-37.7826857,145.2577324
"Heathdale Christian College,Werribee,VIC,3030",-37.8799342,144.6808327
"Balwyn High School,Balwyn North,VIC,3104",-37.7982936,145.0769811
"The King David School,Armadale,VIC,3143",-37.8584548,145.0108516
"St Andrews Christian College,Wantirna South,VIC,3152",-37.8739516,145.2442976
"Methodist Ladies' College,Kew,VIC,3101",-37.8139569,145.0383994
"Ivanhoe Girls' Grammar School,Ivanhoe,VIC,3079",-37.7665749,145.0473459
"Carey Baptist Grammar School,Kew,VIC,3101",-37.8153326,145.0471787
"St Catherine's School,Toorak,VIC,3142",-37.836654,145.021553
"Melbourne Girls Grammar School,South Yarra,VIC,3141",-37.8309032,144.9850293
"Donvale Christian College,Donvale,VIC,3111",-37.7733877,145.1950533
"Yesodei Hatorah College,Elwood,VIC,3184",-37.873084,144.9833242
"Victorian College Of The Arts Secondary School,Southbank,VIC,3006",-37.8282455,144.9649045
"Westbourne Grammar School,Truganina,VIC,3029",-37.850351,144.726175
"Caulfield Grammar School,St Kilda East,VIC,3183",-37.8776948,145.0050225
"Wesley College,Melbourne,VIC,3004,Melbourne CBD(St Kilda Roadarea)",-37.8487254,144.982237
"Adass Israel School,Elsternwick,VIC,3185",-37.8837582,145.0087798
"Bialik College,Hawthorn East,VIC,3123",-37.84194,145.043112
"The Knox School,Wantirna South,VIC,3152",-37.8637857,145.2188194
"Sacre Coeur,Glen Iris,VIC,3146",-37.8629106,145.0530572
"East Doncaster Secondary College,Doncaster East,VIC,3109",-37.7824708,145.1589454
"Genazzano FCJ College,Kew,VIC,3101",-37.8087291,145.0560149
"Mount Scopus Memorial College,Burwood,VIC,3125",-37.8486843,145.1201707
"Xavier College,Kew,VIC,3101",-37.805596,145.0145309
"Toorak College,Mount Eliza,VIC,3930",-38.1727825,145.0930553
"Melbourne Girls' College,Richmond,VIC,3121",-37.8221228,145.0146134
"McKinnon Secondary College,McKinnon,VIC,3204",-37.9122305,145.0486484
"Lowther Hall Anglican Grammar School,Essendon,VIC,3040",-37.7593432,144.9149036
"Loreto, Mandeville Hall,Toorak,VIC,3142",-37.8481621,145.0150227
"Southern Cross Grammar,Caroline Springs,VIC,3023",-37.7131276,144.7389108
"Nunawading Christian College,Nunawading,VIC,3131",-37.822365,145.169658
