postcode,suburb,latitude,longitude
3000,Melbourne,-37.81,144.97
3001,Melbourne,-38.37,144.77
3002,East Melbourne,-37.82,144.99
3003,West Melbourne,-37.81,144.94
3004,Melbourne,-37.84,144.98
3004,St Kilda Road Central,-37.84,144.98
3005,World Trade Centre,-37.82,144.95
3006,South Wharf,-37.82,144.97
3006,Southbank,-37.82,144.97
3008,Docklands,-37.81,144.95
3010,University Of Melbourne,-37.8,144.96
3011,Footscray,-37.8,144.9
3011,Seddon,-37.8,144.9
3011,Seddon West,-37.8,144.9
3012,Brooklyn,-37.81,144.85
3012,Kingsville,-37.81,144.85
3012,Kingsville West,-37.81,144.85
3012,Maidstone,-37.81,144.85
3012,Tottenham,-37.81,144.85
3012,West Footscray,-37.81,144.85
3013,Yarraville,-37.82,144.89
3013,Yarraville West,-37.82,144.89
3015,Newport,-37.84,144.88
3015,South Kingsville,-37.84,144.88
3015,Spotswood,-37.84,144.88
3016,Williamstown,-37.86,144.9
3016,Williamstown North,-37.86,144.9
3018,Altona,-37.87,144.83
3018,Seaholme,-37.87,144.83
3019,Braybrook,-37.78,144.86
3019,Braybrook North,-37.78,144.86
3019,Robinson,-37.78,144.86
3020,Albion,-37.78,144.82
3020,Glengala,-37.78,144.82
3020,Sunshine,-37.78,144.82
3020,Sunshine North,-37.78,144.82
3020,Sunshine West,-37.78,144.82
3021,Albanvale,-37.75,144.77
3021,Kealba,-37.75,144.77
3021,Kings Park,-37.75,144.77
3021,St Albans,-37.75,144.77
3022,Ardeer,-37.78,144.8
3022,Deer Park East,-37.78,144.8
3023,Burnside,-37.75,144.75
3023,Burnside Heights,-37.75,144.75
3023,Cairnlea,-37.75,144.75
3023,Caroline Springs,-37.75,144.75
3023,Deer Park,-37.75,144.75
3023,Deer Park North,-37.75,144.75
3023,Ravenhall,-37.75,144.75
3024,Mambourin,-37.9,144.56
3024,Mount Cottrell,-37.9,144.56
3024,Wyndham Vale,-37.9,144.56
3025,Altona East,-37.84,144.86
3025,Altona Gate,-37.84,144.86
3025,Altona North,-37.84,144.86
3026,Laverton North,-37.84,144.8
3027,Williams Landing,-37.86,144.76
3028,Altona Meadows,-37.87,144.78
3028,Laverton,-37.87,144.78
3028,Seabrook,-37.87,144.78
3029,Hoppers Crossing,-37.88,144.7
3029,Tarneit,-37.88,144.7
3029,Truganina,-37.88,144.7
3030,Cocoroc,-37.97,144.58
3030,Derrimut,-37.97,144.58
3030,Point Cook,-37.97,144.58
3030,Quandong,-37.97,144.58
3030,Werribee,-37.97,144.58
3030,Werribee South,-37.97,144.58
3031,Flemington,-37.79,144.93
3031,Kensington,-37.79,144.93
3032,Ascot Vale,-37.78,144.92
3032,Highpoint City,-37.78,144.92
3032,Maribyrnong,-37.78,144.92
3032,Travancore,-37.78,144.92
3033,Keilor East,-37.74,144.8
3034,Avondale Heights,-37.74,144.82
3036,Keilor,-37.72,144.83
3036,Keilor North,-37.72,144.83
3037,Calder Park,-37.72,144.78
3037,Delahey,-37.72,144.78
3037,Hillside,-37.72,144.78
3037,Sydenham,-37.72,144.78
3037,Taylors Hill,-37.72,144.78
3038,Keilor Downs,-37.73,144.81
3038,Keilor Lodge,-37.73,144.81
3038,Taylors Lakes,-37.73,144.81
3038,Watergardens,-37.73,144.81
3039,Moonee Ponds,-37.77,144.92
3040,Aberfeldie,-37.76,144.9
3040,Essendon,-37.76,144.9
3040,Essendon West,-37.76,144.9
3041,Essendon Fields,-37.74,144.91
3041,Essendon North,-37.74,144.91
3041,Strathmore,-37.74,144.91
3041,Strathmore Heights,-37.74,144.91
3042,Airport West,-37.71,144.89
3042,Keilor Park,-37.71,144.89
3042,Niddrie,-37.71,144.89
3043,Gladstone Park,-37.69,144.88
3043,Gowanbrae,-37.69,144.88
3043,Tullamarine,-37.69,144.88
3044,Pascoe Vale,-37.73,144.94
3044,Pascoe Vale South,-37.73,144.94
3045,Melbourne Airport,-37.67,144.83
3046,Glenroy,-37.7,144.92
3046,Hadfield,-37.7,144.92
3046,Oak Park,-37.7,144.92
3047,Broadmeadows,-37.68,144.92
3047,Dallas,-37.68,144.92
3047,Jacana,-37.68,144.92
3048,Coolaroo,-37.65,144.93
3048,Meadow Heights,-37.65,144.93
3049,Attwood,-37.67,144.89
3049,Westmeadows,-37.67,144.89
3050,Royal Melbourne Hospital,-37.8,144.96
3051,Hotham Hill,-37.91,145.06
3051,North Melbourne,-37.91,145.06
3052,Melbourne University,-37.8,144.96
3052,Parkville,-37.8,144.96
3053,Carlton,-37.78,144.97
3053,Carlton South,-37.78,144.97
3054,Carlton North,-37.78,144.97
3054,Princes Hill,-37.78,144.97
3055,Brunswick South,-37.77,144.94
3055,Brunswick West,-37.77,144.94
3055,Moonee Vale,-37.77,144.94
3055,Moreland West,-37.77,144.94
3056,Brunswick,-37.76,144.94
3056,Brunswick Lower,-37.76,144.94
3056,Brunswick North,-37.76,144.94
3057,Brunswick East,-37.76,144.98
3057,Lygon Street North,-37.76,144.98
3057,Sumner,-37.76,144.98
3058,Batman,-37.73,144.96
3058,Coburg,-37.73,144.96
3058,Coburg North,-37.73,144.96
3058,Merlynston,-37.73,144.96
